Planet,FromDate,ToDate,Direction,D1
Shani,29-04-1971,11-06-1973,F,2
Shani,12-06-1973,24-07-1975,F,3
Shani,25-07-1975,07-09-1977,F,4
Shani,08-09-1977,04-11-1979,F,5
Shani,05-11-1979,16-03-1980,F,6
Shani,17-03-1980,27-07-1980,R,5
Shani,28-07-1980,06-10-1982,F,6
Shani,07-10-1982,22-12-1984,F,7
Shani,23-12-1984,01-06-1985,F,8
Shani,02-06-1985,17-09-1985,R,7
Shani,18-09-1985,17-12-1987,F,8
Shani,18-12-1987,21-03-1990,F,9
Shani,22-03-1990,21-06-1990,F,10
Shani,22-06-1990,15-12-1990,R,9
Shani,16-12-1990,06-03-1993,F,10
Shani,07-03-1993,17-10-1993,F,11
Shani,18-10-1993,09-11-1993,R,10
Shani,10-11-1993,02-06-1995,F,11
Shani,03-06-1995,11-08-1995,F,12
Shani,12-08-1995,17-02-1996,R,11
Shani,18-02-1996,18-04-1998,F,12
Shani,19-04-1998,07-06-2000,F,1
Shani,08-06-2000,23-07-2002,F,2
Shani,24-07-2002,08-01-2003,F,3
Shani,09-01-2003,08-04-2003,R,2
Shani,09-04-2003,06-09-2004,F,3
Shani,07-09-2004,14-01-2005,F,4
Shani,15-01-2005,26-05-2005,R,3
Shani,27-05-2005,01-11-2006,F,4
Shani,02-11-2006,11-01-2007,F,5
Shani,12-01-2007,16-07-2007,R,4
Shani,17-07-2007,10-09-2009,F,5
Shani,11-09-2009,15-11-2011,F,6
Shani,16-11-2011,16-05-2012,F,7
Shani,17-05-2012,04-08-2012,R,6
Shani,05-08-2012,03-11-2014,F,7
Shani,04-11-2014,27-01-2017,F,8
Shani,28-01-2017,21-06-2017,F,9
Shani,22-06-2017,27-10-2017,R,8
Shani,28-10-2017,24-01-2020,F,9
Shani,25-01-2020,29-04-2022,F,10
Shani,30-04-2022,13-07-2022,F,11
Shani,14-07-2022,18-01-2023,R,10
Shani,19-01-2023,30-03-2025,F,11
Shani,31-03-2025,03-06-2027,F,12
Shani,04-06-2027,20-10-2027,F,1
Shani,21-10-2027,24-02-2028,R,12
Shani,25-02-2028,09-08-2029,F,1
Shani,10-08-2029,05-10-2029,F,2
Shani,06-10-2029,18-04-2030,R,1
Shani,19-04-2030,31-05-2032,F,2
Shani,01-06-2032,13-07-2034,F,3
Shani,14-07-2034,28-08-2036,F,4
Shani,29-08-2036,23-10-2038,F,5
Shani,24-10-2038,06-04-2039,F,6
Shani,07-04-2039,13-07-2039,R,5
Shani,14-07-2039,28-01-2041,F,6
Shani,29-01-2041,07-02-2041,F,7
Shani,08-02-2041,26-09-2041,R,6
Shani,27-09-2041,12-12-2043,F,7
Shani,13-12-2043,23-06-2044,F,8
Shani,24-06-2044,31-08-2044,R,7
Shani,01-09-2044,08-12-2046,F,8
Shani,09-12-2046,07-03-2049,F,9
Shani,08-03-2049,10-07-2049,F,10
Shani,11-07-2049,04-12-2049,R,9
Shani,05-12-2049,25-02-2052,F,10
Shani,26-02-2052,15-05-2054,F,11
Shani,16-05-2054,03-09-2054,F,12
Shani,04-09-2054,06-02-2055,R,11
Shani,07-02-2055,07-04-2057,F,12
Shani,08-04-2057,28-05-2059,F,1
Shani,29-05-2059,11-07-2061,F,2
Shani,12-07-2061,13-02-2062,F,3
